Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1u,C28323
C11,0805,1,4.7n/1kV,C565695
"C12, C13, C14, C15, C16, C2",0805,6,10u,C15850
"C17, C18, C3, C4, C5, C6, C7, C8",0805,8,100n,C49678
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B-2020_PLCC4_2.0x2.0mm,12,WS2812B,C2976072
"D16, D17, D18",D_SOD-323,3,1N5819WS,C191023
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C393939
"J2, J3",PinHeader_2x05_P2.54mm_Vertical,2,Conn_01x12,
"R1, R12, R13, R14, R2, R28, R3, R6, R7",0805,9,10k,C17414
"R10, R21, R22, R23, R24, R25, R27, R31, R32, R33, R34, R9",0805,12,0R,C17477
R11,0805,1,1M,C17514
"R15, R16",0805,2,4k7,C17673
R17,0805,1,75k/1%,C17819
"R29, R30, R35, R36",0805,4,100R,C17408
"R4, R5",0805,2,5k1,C27834
SW1,SMD_SW_1P1T_TS-1088-AR02016,1,RESET,C720477
SW2,SMD_SW_1P1T_TS-1088-AR02016,1,BOOT,C720477
"SW3, SW4, SW5",SW_SPST_PTS645Sx43SMTR92,3,PB,C2837531
U1,SOT-23-6,1,USBLC6-2SC6,C7519
U2,ESP32-C3-MINI-1,1,ESP32-C3-MINI-1,C2838502
U3,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,C967633
U4,SOT-89-3,1,HT7533-1-SOT89,C14289
U5,Broadcom_DFN-6_2x2mm_P0.65mm,1,APDS-9306-065,C2649498
U6,UQFN-20_3x3mm_P0.4mm,1,MPR121QR2,C91322
