Designator,Mid X,Mid Y,Rotation,Layer
C1,9.0,19.575,0.0,top
C11,2.849499,39.61225,345.0,top
C12,-16.75,18.25,180.0,top
C13,-16.75,10.75,0.0,top
C14,-5.0,0.75,180.0,top
C15,13.25,7.0,90.0,top
C16,0.0,2.75,180.0,top
C17,-5.25,-10.5,0.0,top
C18,5.0,-12.5,180.0,top
C2,9.0,11.225,0.0,top
C3,9.0,13.225,0.0,top
C4,13.25,21.75,0.0,top
C5,-5.25,23.25,270.0,top
C6,-23.5,29.75,90.0,top
C7,46.75,11.0,90.0,top
C8,-4.75,-40.5,90.0,top
D1,-31.5,0.0,270.0,top
D10,0.0,-31.5,0.0,top
D11,-15.75,-27.28,330.0,top
D12,-27.28,-15.75,300.0,top
D16,-31.32744,-3.292647,186.0,top
D17,12.812183,28.776881,66.0,top
D18,18.515256,-25.484234,306.0,top
D2,-27.28,15.75,240.0,top
D3,-15.75,27.28,210.0,top
D4,0.0,31.5,180.0,top
D5,15.75,27.28,150.0,top
D6,27.28,15.75,120.0,top
D7,31.5,0.0,90.0,top
D8,27.28,-15.75,60.0,top
D9,15.75,-27.28,30.0,top
J1,10.611581,39.602959,165.0,top
R1,9.0,17.325,180.0,top
R10,-9.0,18.275,180.0,top
R11,3.367137,41.544102,345.0,top
R12,-3.25,23.275,270.0,top
R13,0.0,-3.0,180.0,top
R14,5.25,-3.75,180.0,top
R15,0.75,23.25,90.0,top
R16,2.75,23.25,90.0,top
R17,-5.25,-12.5,0.0,top
R2,9.0,15.225,0.0,top
R21,6.0,-7.5,90.0,top
R22,-23.5,6.5,180.0,top
R23,-5.0,-1.5,0.0,top
R24,5.25,3.0,180.0,top
R25,19.75,7.0,270.0,top
R27,5.25,0.75,0.0,top
R28,-6.0,-7.5,270.0,top
R29,12.75,1.0,0.0,top
R3,-1.25,23.25,90.0,top
R30,12.75,-2.0,0.0,top
R31,-11.0,-36.0,0.0,top
R32,5.0,-10.5,0.0,top
R33,40.5,6.5,0.0,top
R34,-29.75,25.25,180.0,top
R35,12.75,-5.0,0.0,top
R36,12.75,-8.0,0.0,top
R4,16.833689,33.846409,345.0,top
R5,2.331861,37.680398,165.0,top
R6,-35.75,29.75,270.0,top
R7,34.5,10.75,270.0,top
R9,-9.0,16.275,180.0,top
SW1,13.25,17.75,90.0,top
SW2,-9.5,23.25,180.0,top
SW3,-29.69848,29.69849,0.0,top
SW4,40.5689,10.8704,0.0,top
SW5,-10.8704,-40.5689,0.0,top
U1,8.825729,32.938071,75.0,top
U2,0.0,12.525,180.0,top
U3,0.0,0.0,180.0,top
U4,-16.5,14.5,180.0,top
U5,16.5,7.25,0.0,top
U6,0.0,-13.25,270.0,top
