Comment,Designator,Footprint,LCSC,Quantity
100k,RV1,Potentiometer_Bourns_TC33X_Vertical,C48997895,1
10k,"R1,R4",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,2
10nF,"C2,C3,C4",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1710,3
10uF,"C1,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850,2
1N5819,D11,D_SOD-323,C191023,1
1k,"R2,R3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513,2
4017,U2,SOIC-16_3.9x9.9mm_P1.27mm,C2868374,1
ENABLE,SW1,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile,C600988,1
LED,"D1,D10,D2,D3,D4,D5,D6,D7,D8,D9",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256,10
NE555,U1,SOIC-8_3.9x4.9mm_P1.27mm,C7593,1
