Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,174.0,-55.5,-90.0,top
C2,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,183.0,-50.5,0.0,top
C3,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,183.0,-58.5,0.0,top
C4,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,181.0,-71.5,180.0,top
C5,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,184.9625,-71.5,0.0,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,190.5,-72.0,180.0,top
D10,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,190.475,-54.0,180.0,top
D11,1N5819,D_SOD-323,177.0,-77.55,-90.0,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,190.5,-70.0,180.0,top
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,190.5,-68.0,180.0,top
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,190.5,-66.0,180.0,top
D5,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,190.5,-64.0,180.0,top
D6,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,190.5,-62.0,180.0,top
D7,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,190.5,-60.0,180.0,top
D8,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,190.5,-58.0,180.0,top
D9,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,190.5,-56.0,180.0,top
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,178.0,-55.5,90.0,top
R2,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,176.0,-55.5,-90.0,top
R3,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,190.5,-74.0,180.0,top
R4,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,171.5,-60.5,-90.0,top
RV1,100k,Potentiometer_Bourns_TC33X_Vertical,175.4,-60.5,270.0,top
SW1,ENABLE,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile,175.5,-68.5,90.0,top
U1,NE555,SOIC-8_3.9x4.9mm_P1.27mm,183.0,-54.5,90.0,top
U2,4017,SOIC-16_3.9x9.9mm_P1.27mm,183.0,-65.0,90.0,top
